"TenantId","CustomerDisplayName","PartnerAttemptStatus","VerifiedStatus","FinalState","ServicePrincipalId","MissingPermissions","VerificationError","VerifiedAt"
"02e8d145-ad8b-4b69-8dc2-bbb61ec4c6e0","Proforma Horizon Total Source","PartnerApproved","Verified","Verified","47c3a525-bdae-4214-8a33-1fe3cef922a1","","","2026-03-16T16:03:17.3508815-05:00"
"26815561-96af-449b-a666-3a5a97fb7018","Riverside Box Supply Co.","NotStarted","MissingServicePrincipal","NeedsInvestigation","","","Target app is not onboarded in this tenant.","2026-03-16T16:03:18.4087670-05:00"
"6629360b-7eb0-4aa6-8330-556e21b2f1f3","RNT Calls, Inc.","PartnerApproved","Verified","Verified","7c71fe19-564a-4b8c-bd30-a20a31b28413","","","2026-03-16T16:03:18.6256872-05:00"
"c0849c71-92c4-49d6-b43b-69012e13443d","Robinson Diagnostics Inc.","PartnerApproved","Verified","Verified","7cc4ac28-10fb-4d32-8611-f9c46cd2aa74","","","2026-03-16T16:03:19.6037891-05:00"
"b303adf8-ba65-4876-830e-a1d92423c296","Rockwall CAD","PartnerApproved","Verified","Verified","352947f0-dec3-4ece-83bd-11439d560362","","","2026-03-16T16:03:20.5760437-05:00"
"4d38bf99-0805-41f2-b144-b787e38557ee","Roller Funeral Home","PartnerApproved","Verified","Verified","da8155e8-c954-4799-8b7a-a7cd33a1cd65","","","2026-03-16T16:03:21.5983138-05:00"
"91c69da3-98f0-42f3-9944-7781d3de3f08","Ronald McDonald House Arkansas & North Louisiana","PartnerApproved","Verified","Verified","111208fd-7811-4e21-aab8-3052125319f5","","","2026-03-16T16:03:23.4070215-05:00"
"a5eaa833-1514-4988-8e50-7ea21e5375b4","Serve Denton","PartnerApproved","Verified","Verified","f62f346d-4fa9-4787-84d1-a2522269d890","","","2026-03-16T16:03:24.9137024-05:00"
"c907c718-bec2-4b63-ad70-202379678473","Shults Law Firm","PartnerApproved","Verified","Verified","cd13ea66-fd31-48de-be70-f2e5570ba99e","","","2026-03-16T16:03:26.6346555-05:00"
"d95b91e0-7e28-4649-ab65-c01d9ebac945","SINCO Inc.","PartnerApproved","Verified","Verified","6633e478-f4d1-482c-b25b-66842f3c9624","","","2026-03-16T16:03:28.5048659-05:00"
"43c4a3ab-b33e-426c-a351-7075d690934c","SJS and Company","NotStarted","MissingServicePrincipal","NeedsInvestigation","","","Target app is not onboarded in this tenant.","2026-03-16T16:03:30.4968963-05:00"
"1abc61d2-bb21-4a54-8bbb-9481d3fd417e","SMA Architects","NotStarted","MissingServicePrincipal","NeedsInvestigation","","","Target app is not onboarded in this tenant.","2026-03-16T16:03:30.6525454-05:00"
"700ce43e-5d55-4bbc-b4c3-43f8c0f9ec49","St. Mark Catholic Church","PartnerApproved","Verified","Verified","67520994-1a6a-49c8-beb5-a0d074b3e434","","","2026-03-16T16:03:30.8303446-05:00"
"75fe5c4f-cff4-420f-bbde-794c9a48fbb5","Sumitomo Precision","PartnerApproved","Verified","Verified","ae23f286-fdaf-4862-85bf-708f4bcb9474","","","2026-03-16T16:03:32.5229793-05:00"
"9c5be6cd-1d50-4399-ac8a-f29c9ab2b573","Town of Bartonville","PartnerApproved","Verified","Verified","8f00cfbb-a54d-4fe3-94c4-d73bfe6176d5","","","2026-03-16T16:03:34.2703328-05:00"
"b559f515-ff82-4f70-bfab-027b8503c56d","Town of Double Oak","PartnerApproved","Verified","Verified","16fbc627-599e-4273-8cf3-d2a483859f8e","","","2026-03-16T16:03:36.0864879-05:00"
